상세페이지URL,로고URL,상호명,별점,최소주문금액,소요시간,리뷰수
https://www.yogiyo.co.kr/mobile/#/356896/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20190822_356896_국제시장국제통닭-신촌점_대표사진_200x200.jpg,국제시장국제통닭-신촌점,★ 4.8,"15,000원 이상 배달",50~60분,58
https://www.yogiyo.co.kr/mobile/#/312798/,https://www.yogiyo.co.kr/media/restaurant_logos/윤s치킨_20190313_가맹로고이미지약정서_crop_200x200.jpg,윤s치킨,★ 4.2,"15,000원 이상 배달",50~60분,58
https://www.yogiyo.co.kr/mobile/#/356185/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20190919_356185_치킨먹고팔자피자-송파점_대표사진_200x200_8i5e3e0.jpg,치킨먹고팔자피자-마포점,★ 4.7,"15,000원 이상 배달",40~50분,54
https://www.yogiyo.co.kr/mobile/#/352837/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20190805_352837_치킨선생-마포점_대표사진_200x200.jpg,치킨선생-마포점,★ 4.7,"15,000원 이상 배달",45~55분,50
https://www.yogiyo.co.kr/mobile/#/243474/,https://www.yogiyo.co.kr/media/restaurant_logos/후라이드치킨순살02_20131128_FoodAD_crop_200x200_Vw9JdXi.jpg,생맥주전문점마녀똥집,★ 4.3,"15,000원 이상 배달",30~40분,45
https://www.yogiyo.co.kr/mobile/#/341781/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191008_341781_몬스터한마리반치킨-신촌점_대표사진_200x200_OEcdzOE.jpg,몬스터한마리반치킨-신촌점,★ 4.5,"10,000원 이상 배달",45~55분,39
https://www.yogiyo.co.kr/mobile/#/324060/,https://www.yogiyo.co.kr/media/restaurant_logos/누나홀닭-망원역점_20190425_가맹로고이미지약정서_crop_200x200.jpg,누나홀닭-망원역점,★ 4.6,"17,900원 이상 배달",40~50분,36
https://www.yogiyo.co.kr/mobile/#/14233/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191203_14233_피자조팩토리_대표사진_200x200.jpg,피자조팩토리,★ 4.9,"15,500원 이상 배달",50~60분,35
https://www.yogiyo.co.kr/mobile/#/342025/,https://www.yogiyo.co.kr/media/franchise_logos/생활맥주_20190823_Franchise_crop_200x200.jpg,생활치킨-상수역점,★ 4.8,"15,000원 이상 배달",50~60분,35
https://www.yogiyo.co.kr/mobile/#/314163/,https://www.yogiyo.co.kr/media/restaurant_logos/파자마피자치킨_20190409_가맹로고이미지약정서_crop_200x200.jpg,파자마피자&치킨,★ 4.3,"16,000원 이상 배달",,30
https://www.yogiyo.co.kr/mobile/#/305294/,https://www.yogiyo.co.kr/media/restaurant_logos/레트로켄터키_20190104_가맹로고이미지약정서_crop_200x200.jpg,레트로켄터키,★ 4.3,"15,000원 이상 배달",40~50분,28
https://www.yogiyo.co.kr/mobile/#/404138/,https://www.yogiyo.co.kr/media/franchise_logos/BHC_20191014_Franchise_crop_200x200_hY0tGRI.jpg,BHC-홍대서교점,★ 4.6,"15,000원 이상 배달",55~65분,21
https://www.yogiyo.co.kr/mobile/#/397860/,https://www.yogiyo.co.kr/media/franchise_logos/오태식해바라기치킨_20190211_Franchise이미지약정서_crop_200x200.jpg,오태식해바라기치킨-홍대점,★ 4.7,"15,900원 이상 배달",50~60분,21
https://www.yogiyo.co.kr/mobile/#/338730/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20190618_338730_치킹맨_대표사진_200X200.jpg,치킹맨,★ 4.3,"11,800원 이상 배달",50~60분,16
https://www.yogiyo.co.kr/mobile/#/399382/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191210_399382_피치떡-마포점_대표사진_200x200_aYd3rWr.jpg,피치떡-마포점,★ 5.0,"15,000원 이상 배달",45~55분,15
https://www.yogiyo.co.kr/mobile/#/332381/,https://www.yogiyo.co.kr/media/restaurant_logos/동네아저씨치킨-신촌점_20190530_가맹로고이미지약정서_crop_200x200.jpg,동네아저씨치킨-신촌점,★ 4.1,"17,000원 이상 배달",50~60분,14
https://www.yogiyo.co.kr/mobile/#/398855/,https://www.yogiyo.co.kr/media/restaurant_logos/스탁_20190809_DHK촬영_닭강정_Top01_300x300_yffsEaQ.jpg,동경닭강정-본점,★ 4.9,"13,000원 이상 배달",40~50분,13
https://www.yogiyo.co.kr/mobile/#/403428/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20200109_403428_씽씽치킨-신수점_대표사진_300x300.jpg,씽씽치킨-신수점,★ 4.5,"14,000원 이상 배달",30~40분,13
https://www.yogiyo.co.kr/mobile/#/326676/,https://www.yogiyo.co.kr/media/restaurant_logos/후라이드치킨다리02_20131128_FoodAD_crop_200x200_p6j7H64.jpg,잉치킨-마포신촌점,★ 4.3,"15,000원 이상 배달",40~50분,12
https://www.yogiyo.co.kr/mobile/#/361642/,https://www.yogiyo.co.kr/media/restaurant_logos/양념치킨순살02_20131128_FoodAD_crop_200x200_8RD4bFg.jpg,치폴레옹치킨스테이크-연대신촌점,★ 5.0,"10,000원 이상 배달",50~60분,12
https://www.yogiyo.co.kr/mobile/#/346864/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191129_346864_뉴욕비치킨플래터_대표사진_200x200.jpg,뉴욕비치킨플래터,★ 4.8,"14,000원 이상 배달",50~60분,12
https://www.yogiyo.co.kr/mobile/#/368820/,https://www.yogiyo.co.kr/media/restaurant_logos/스탁_20190801_DHK촬영_한마리후라이드치킨_Side01_300x300_ZeB7JiL.jpg,탭탭치킨&피자-홍대점,★ 4.9,"13,000원 이상 배달",50~60분,12
https://www.yogiyo.co.kr/mobile/#/407438/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20200108_407438_닭갉젉_대표사진_300x300.jpg,닭갉젉,★ 4.6,"6,500원 이상 배달",40~50분,11
https://www.yogiyo.co.kr/mobile/#/378360/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191118_378360_배터지는파닭-신촌점_대표사진_200x200.jpg,배터지는파닭-신촌점,★ 4.8,"13,000원 이상 배달",35~45분,9
https://www.yogiyo.co.kr/mobile/#/373800/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191014_373800_곱깨비-연남본점_대표사진_200x200.jpg,곱깨비-연남본점,★ 3.9,"18,000원 이상 배달",55~65분,9
https://www.yogiyo.co.kr/mobile/#/278445/,https://www.yogiyo.co.kr/media/restaurant_logos/두마리치킨01_20131128_FoodAD_crop_200x200_ksKGLdD.jpg,넘버원치킨,★ 4.3,"20,000원 이상 배달",,8
https://www.yogiyo.co.kr/mobile/#/310477/,https://www.yogiyo.co.kr/media/restaurant_logos/후라이드치킨02_20131128_FoodAD_crop_200x200_MDb2Uby.jpg,경석이네통닭분식-홍대점,★ 4.3,"11,000원 이상 배달",30~40분,7
https://www.yogiyo.co.kr/mobile/#/382770/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191111_382770_더쉐프리조또n필라프_대표사진_200x200.jpg,더쉐프리조또&필라프,★ 4.4,"12,000원 이상 배달",80~90분,7
https://www.yogiyo.co.kr/mobile/#/272251/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191014_272251_담백한꼬꼬순이치킨_대표사진_200x200.jpg,담백한꼬꼬순이치킨,★ 4.3,"17,000원 이상 배달",40~50분,6
https://www.yogiyo.co.kr/mobile/#/301039/,https://www.yogiyo.co.kr/media/restaurant_logos/상수동치맥_20181127_가맹로고이미지약정서_crop_200x200.jpg,상수동치맥,★ 5.0,"17,900원 이상 배달",40~50분,5
https://www.yogiyo.co.kr/mobile/#/387547/,https://www.yogiyo.co.kr/media/restaurant_logos/업체자체_20191115_387547_아닭치킨_대표사진_200x200.jpg,아닭치킨,★ 4.6,"15,000원 이상 배달",40~50분,5
